BINK ID	Channel ID	Product Key	Product	Licensed for...	Additional notes	Found by...
00	000	HF3B8-T4YR8-GY29W-9GXJ9-MD4H8				
00	001	FQBGW-TC732-WHKR3-PT27R-YG8HY				
00	002	TB6JY-7D99X-3FMV6-W69CD-WKWVB				
00	003	H2XQY-M33HH-VPJ69-JKTQW-3XPV8				
00	004	BV23T-XQWYM-DFW6H-8GCVW-7BV93				
00	005	RQV2F-7K7FR-BTXG4-HCTKX-WHGTQ				
00	006	JRJT3-TY8C8-28Y3B-MB8H6-FMVY8				
00	007	M3QB2-XMRY3-B876R-YHBDQ-Y8GWY				
00	008	D2XDM-WYWDV-2HQXQ-C3VX7-W79XD				
00	009	T62K6-89V9Q-XVT3F-VFV2H-RK6TW				
00	010	TFYY7-6MPG3-CGGWP-DPXM2-76BYJ				
00	011	K3MYT-7DPQP-CJCH6-MW3HF-TJVXW				
00	012	KXCMW-XR36C-H2T7Q-8DRP6-2PW9Q				
00	013	RK3C2-GK2RB-VF49J-4MT43-JVQ2T				
00	014	P9D4V-J4RD7-VYPGY-JR4YV-PMFMD				
00	015	F4C8D-XDCVH-QCDYR-YWRGX-DC4MW				
00	016	QFD2Y-FT2WK-Q4WFW-X8478-KPQ86				
00	017	QJKTP-8DKWM-3CD8P-T7XPF-99JHB				
00	018	K7QGR-KH9H3-V6M7D-R78JH-QVCHT				
00	019	DPMKY-W48VV-2BCXB-29DKC-YR6RD				
00	020	WYDBX-6B7G4-4XW26-4BR8C-P3BX3				
00	021	CHDTK-FK84D-HP767-VXXDB-KJTRB				
00	022	KFJ2B-4VXHV-RXP9H-4DFBP-T9HT6				
00	023	CGQWF-KKFBY-C9GC4-7Y8YV-HPBM6				
00	024	QG68K-DKBGJ-VWDJX-XTQWF-RV84J				
00	025	P3V8G-JKC8B-RHPW2-FT78X-84W3D				
00	026	PG3TP-6B6WQ-CY6X7-XYKKF-3B3KM				
00	027	R9Y96-DXXF8-M44JF-6PF9B-KJXB8				
00	028	RV2VT-DCBRT-G2M72-T4D9Y-C43CB				
00	029	DXYCP-HYG69-QXYKH-F7K29-XJKX6				
00	030	FGMVG-CYQQ6-D2FPJ-Q7J7X-CK28Y				
00	031	FVX8R-BRC74-X2222-KGF49-TH7XT				
00	032	MH39Y-H8TJ3-P69W3-VDVFT-JDM7M				
00	033	T8XWK-B4J9R-KBQHV-94JY8-C2V46				
00	034	HW9DG-3W43M-6T869-48XWG-JDRY6				
00	035	H6Q4M-DHFGJ-BCVHT-JXMQ2-Q7MVM				
00	036	QMK3H-TFYJ7-GCKP6-T8KC4-W82GG				
00	037	GTCKM-QW7MB-78JQV-6R7TM-F33FW				
00	038	D9FWX-XBWPF-JCGFF-8KX2X-PTYPQ				
00	039	QM6K7-K43RX-Q36G8-3F6C8-YMYRD				
00	040	TFBQQ-V8DWK-K6QR3-JJ46C-4H9JD				
00	041	KWCHP-FR9V6-RV3TT-MWGXV-3R6PQ				
00	042	XJWJM-46QFW-63R78-JWG44-GMJPQ				
00	043	M9P4H-K2VB7-VWM6X-22794-XPF38				
00	044	KDB8J-WGX4F-Q7C3Y-29WRT-B479B				
